,@timestamp,player_ID,player_role,motion_x,motion_y,motion_z,x,y,z,pitch,yaw,Room_in,num_victims,victim_0_id,victim_1_id,victim_2_id,victim_0_color,victim_1_color,victim_2_color,victim_0_dist,victim_1_dist,victim_2_dist,victim_0_loc,victim_1_loc,victim_2_loc,victim_0_in_FOV,victim_1_in_FOV,victim_2_in_FOV,victim_0_in_triage_pos,victim_1_in_triage_pos,victim_2_in_triage_pos,victim_in_crosshair_id,victim_in_cross_hair_color,portal_0_in_FOV,portal_0_dist,portal_0_next_room,portal_1_in_FOV,portal_1_dist,portal_1_next_room,portal_2_in_FOV,portal_2_dist,portal_2_next_room,event_triage_victim_id,triage_in_progress,triage_result
0,2020-06-12T18:36:02.417Z,K_Fuse,Triager,0,0,0,35,29,31,25.200008,241.34996,None,0,None,None,None,None,None,None,0,0,0,"(0, 0, 0)","(0, 0, 0)","(0, 0, 0)",False,False,False,False,False,False,None,None,None,0,None,None,0,None,None,0,None,None,False,None
1,2020-06-12T18:36:02.926Z,K_Fuse,Triager,0,0,0,35,29,31,25.200008,241.34996,None,0,None,None,None,None,None,None,0,0,0,"(0, 0, 0)","(0, 0, 0)","(0, 0, 0)",False,False,False,False,False,False,None,None,None,0,None,None,0,None,None,0,None,None,False,None
2,2020-06-12T18:36:03.435Z,K_Fuse,Triager,0,0,0,35,29,31,21.450008,268.04993,None,0,None,None,None,None,None,None,0,0,0,"(0, 0, 0)","(0, 0, 0)","(0, 0, 0)",False,False,False,False,False,False,None,None,None,0,None,None,0,None,None,0,None,None,False,None
3,2020-06-12T18:36:03.944Z,K_Fuse,Triager,0,0,0,35,29,31,21.15001,280.34998,None,0,None,None,None,None,None,None,0,0,0,"(0, 0, 0)","(0, 0, 0)","(0, 0, 0)",False,False,False,False,False,False,None,None,None,0,None,None,0,None,None,0,None,None,False,None
4,2020-06-12T18:36:04.454Z,K_Fuse,Triager,0.096405662596226,0,0.01760527305305,35,29,31,21.15001,280.34998,None,0,None,None,None,None,None,None,0,0,0,"(0, 0, 0)","(0, 0, 0)","(0, 0, 0)",False,False,False,False,False,False,None,None,None,0,None,None,0,None,None,0,None,None,False,None
5,2020-06-12T18:36:04.965Z,K_Fuse,Triager,0.128341866112351,0,0.02089807170259,36,29,31,22.950008,279.15,None,0,None,None,None,None,None,None,0,0,0,"(0, 0, 0)","(0, 0, 0)","(0, 0, 0)",False,False,False,False,False,False,None,None,None,0,None,None,0,None,None,0,None,None,False,None
6,2020-06-12T18:36:05.476Z,K_Fuse,Triager,0.28604813173115,0,0.042241192773503,37,29,31,23.700008,278.7,None,0,None,None,None,None,None,None,0,0,0,"(0, 0, 0)","(0, 0, 0)","(0, 0, 0)",False,False,False,False,False,False,None,None,None,0,None,None,0,None,None,0,None,None,False,None
7,2020-06-12T18:36:05.987Z,K_Fuse,Triager,0,0,0,37,29,31,25.200008,281.25003,None,0,None,None,None,None,None,None,0,0,0,"(0, 0, 0)","(0, 0, 0)","(0, 0, 0)",False,False,False,False,False,False,None,None,None,0,None,None,0,None,None,0,None,None,False,None
8,2020-06-12T18:36:06.497Z,K_Fuse,Triager,0,0,0,37,29,31,28.650011,314.10004,None,0,None,None,None,None,None,None,0,0,0,"(0, 0, 0)","(0, 0, 0)","(0, 0, 0)",False,False,False,False,False,False,None,None,None,0,None,None,0,None,None,0,None,None,False,None
9,2020-06-12T18:36:06.905Z,K_Fuse,Triager,0,0,0,37,29,31,30.90001,37.350037,None,0,None,None,None,None,None,None,0,0,0,"(0, 0, 0)","(0, 0, 0)","(0, 0, 0)",False,False,False,False,False,False,None,None,None,0,None,None,0,None,None,0,None,None,False,None
