,@timestamp,player_ID,player_role,motion_x,motion_y,motion_z,x,y,z,pitch,yaw,Room_in,Portal_in,num_victims,victim_0_id,victim_1_id,victim_2_id,victim_3_id,victim_4_id,victim_5_id,victim_0_color,victim_1_color,victim_2_color,victim_3_color,victim_4_color,victim_5_color,victim_0_dist,victim_1_dist,victim_2_dist,victim_3_dist,victim_4_dist,victim_5_dist,victim_0_loc,victim_1_loc,victim_2_loc,victim_3_loc,victim_4_loc,victim_5_loc,victim_0_in_FOV,victim_0_angel_yaw_deg,victim_0_angel_pitch_deg,victim_0_angel_2D_deg,victim_1_in_FOV,victim_1_angel_yaw_deg,victim_1_angel_pitch_deg,victim_1_angel_2D_deg,victim_2_in_FOV,victim_2_angel_yaw_deg,victim_2_angel_pitch_deg,victim_2_angel_2D_deg,victim_3_in_FOV,victim_3_angel_yaw_deg,victim_3_angel_pitch_deg,victim_3_angel_2D_deg,victim_4_in_FOV,victim_4_angel_yaw_deg,victim_4_angel_pitch_deg,victim_4_angel_2D_deg,victim_5_in_FOV,victim_5_angel_yaw_deg,victim_5_angel_pitch_deg,victim_5_angel_2D_deg,victim_0_in_triage_pos,victim_1_in_triage_pos,victim_2_in_triage_pos,victim_3_in_triage_pos,victim_4_in_triage_pos,victim_5_in_triage_pos,victim_in_crosshair_id,victim_in_cross_hair_color,portal_0_in_FOV,portal_0_dist,portal_0_next_room,portal_1_in_FOV,portal_1_dist,portal_1_next_room,portal_2_in_FOV,portal_2_dist,portal_2_next_room,event_triage_victim_id,triage_in_progress,triage_result,sensor_state
0,2020-06-17T17:24:35.774Z,K_Fuse,Triager,0.0,0.0,0.0,2.0,16.0,24.0,0.0,0.0,None,None,0,None,None,None,None,None,None,None,None,None,None,None,None,0.0,0.0,0.0,0.0,0,0,"(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)",False,None,None,None,False,None,None,None,False,None,None,None,False,None,None,None,False,None,None,None,False,None,None,None,False,False,False,False,False,False,None,None,None,0.0,None,None,0.0,None,None,0.0,None,None,False,None,None
1,2020-06-17T17:24:36.403Z,K_Fuse,Triager,0.0,0.0,0.0,2.0,16.0,24.0,0.0,0.0,None,None,0,None,None,None,None,None,None,None,None,None,None,None,None,0.0,0.0,0.0,0.0,0,0,"(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)",False,None,None,None,False,None,None,None,False,None,None,None,False,None,None,None,False,None,None,None,False,None,None,None,False,False,False,False,False,False,None,None,None,0.0,None,None,0.0,None,None,0.0,None,None,False,None,None
2,2020-06-17T17:24:36.919Z,K_Fuse,Triager,0.0,0.0,0.0,2.0,16.0,24.0,0.0,0.0,None,None,0,None,None,None,None,None,None,None,None,None,None,None,None,0.0,0.0,0.0,0.0,0,0,"(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)",False,None,None,None,False,None,None,None,False,None,None,None,False,None,None,None,False,None,None,None,False,None,None,None,False,False,False,False,False,False,None,None,None,0.0,None,None,0.0,None,None,0.0,None,None,False,None,None
3,2020-06-17T17:24:37.435Z,K_Fuse,Triager,0.0,0.0,0.0,2.0,16.0,24.0,0.0,0.0,None,None,0,None,None,None,None,None,None,None,None,None,None,None,None,0.0,0.0,0.0,0.0,0,0,"(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)",False,None,None,None,False,None,None,None,False,None,None,None,False,None,None,None,False,None,None,None,False,None,None,None,False,False,False,False,False,False,None,None,None,0.0,None,None,0.0,None,None,0.0,None,None,False,None,None
4,2020-06-17T17:24:37.950Z,K_Fuse,Triager,0.0,0.0,0.0,2.0,16.0,24.0,0.0,0.0,None,None,0,None,None,None,None,None,None,None,None,None,None,None,None,0.0,0.0,0.0,0.0,0,0,"(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)",False,None,None,None,False,None,None,None,False,None,None,None,False,None,None,None,False,None,None,None,False,None,None,None,False,False,False,False,False,False,None,None,None,0.0,None,None,0.0,None,None,0.0,None,None,False,None,None
5,2020-06-17T17:24:38.465Z,K_Fuse,Triager,0.0,0.0,0.0,2.0,16.0,24.0,0.0,0.0,None,None,0,None,None,None,None,None,None,None,None,None,None,None,None,0.0,0.0,0.0,0.0,0,0,"(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)",False,None,None,None,False,None,None,None,False,None,None,None,False,None,None,None,False,None,None,None,False,None,None,None,False,False,False,False,False,False,None,None,None,0.0,None,None,0.0,None,None,0.0,None,None,False,None,None
6,2020-06-17T17:24:38.980Z,K_Fuse,Triager,0.0,0.0,0.0,2.0,16.0,24.0,0.0,0.0,None,None,0,None,None,None,None,None,None,None,None,None,None,None,None,0.0,0.0,0.0,0.0,0,0,"(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)",False,None,None,None,False,None,None,None,False,None,None,None,False,None,None,None,False,None,None,None,False,None,None,None,False,False,False,False,False,False,None,None,None,0.0,None,None,0.0,None,None,0.0,None,None,False,None,None
7,2020-06-17T17:24:39.497Z,K_Fuse,Triager,0.0,0.0,0.0,2.0,16.0,24.0,0.0,0.0,None,None,0,None,None,None,None,None,None,None,None,None,None,None,None,0.0,0.0,0.0,0.0,0,0,"(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)",False,None,None,None,False,None,None,None,False,None,None,None,False,None,None,None,False,None,None,None,False,None,None,None,False,False,False,False,False,False,None,None,None,0.0,None,None,0.0,None,None,0.0,None,None,False,None,None
8,2020-06-17T17:24:39.912Z,K_Fuse,Triager,0.0,0.0,0.0,2.0,16.0,24.0,0.0,0.0,None,None,0,None,None,None,None,None,None,None,None,None,None,None,None,0.0,0.0,0.0,0.0,0,0,"(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)",False,None,None,None,False,None,None,None,False,None,None,None,False,None,None,None,False,None,None,None,False,None,None,None,False,False,False,False,False,False,None,None,None,0.0,None,None,0.0,None,None,0.0,None,None,False,None,None
9,2020-06-17T17:24:40.444Z,K_Fuse,Triager,0.0,0.0,0.0,2.0,16.0,24.0,0.0,0.0,None,None,0,None,None,None,None,None,None,None,None,None,None,None,None,0.0,0.0,0.0,0.0,0,0,"(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)",False,None,None,None,False,None,None,None,False,None,None,None,False,None,None,None,False,None,None,None,False,None,None,None,False,False,False,False,False,False,None,None,None,0.0,None,None,0.0,None,None,0.0,None,None,False,None,None
