,@timestamp,player_ID,player_role,motion_x,motion_y,motion_z,x,y,z,pitch,yaw,Room_in,num_victims,victim_0_id,victim_1_id,victim_2_id,victim_0_color,victim_1_color,victim_2_color,victim_0_dist,victim_1_dist,victim_2_dist,victim_0_loc,victim_1_loc,victim_2_loc,victim_0_in_FOV,victim_1_in_FOV,victim_2_in_FOV,victim_0_in_triage_pos,victim_1_in_triage_pos,victim_2_in_triage_pos,victim_in_crosshair_id,victim_in_cross_hair_color,event_triage_victim_id,triage_in_progress,triage_result
0,2020-06-10T19:06:46.826Z,Player173,Triager,15.8000000119209,0,-1.9470002191614,35,29,31,7.650002,269.40002,None,0,None,None,None,None,None,None,0,0,0,"(0, 0, 0)","(0, 0, 0)","(0, 0, 0)",False,False,False,False,False,False,None,None,None,False,None
1,2020-06-10T19:06:47.042Z,Player173,Triager,0,0,0,35,29,31,7.2000017,269.40002,None,0,None,None,None,None,None,None,0,0,0,"(0, 0, 0)","(0, 0, 0)","(0, 0, 0)",False,False,False,False,False,False,None,None,None,False,None
2,2020-06-10T19:06:47.580Z,Player173,Triager,0,0,0,35,29,31,8.700001,269.40002,None,0,None,None,None,None,None,None,0,0,0,"(0, 0, 0)","(0, 0, 0)","(0, 0, 0)",False,False,False,False,False,False,None,None,None,False,None
3,2020-06-10T19:06:48.004Z,Player173,Triager,0,0,0,35,29,31,12.000001,297.75006,None,0,None,None,None,None,None,None,0,0,0,"(0, 0, 0)","(0, 0, 0)","(0, 0, 0)",False,False,False,False,False,False,None,None,None,False,None
4,2020-06-10T19:06:48.534Z,Player173,Triager,0,0,0,35,29,31,14.400002,299.25006,None,0,None,None,None,None,None,None,0,0,0,"(0, 0, 0)","(0, 0, 0)","(0, 0, 0)",False,False,False,False,False,False,None,None,None,False,None
5,2020-06-10T19:06:49.046Z,Player173,Triager,0.393704188412357,0,-0.075569576443741,36,29,31,14.550003,309.44998,None,0,None,None,None,None,None,None,0,0,0,"(0, 0, 0)","(0, 0, 0)","(0, 0, 0)",False,False,False,False,False,False,None,None,None,False,None
6,2020-06-10T19:06:49.577Z,Player173,Triager,0.657268942705286,0,0.041855963754955,38,29,31,16.050003,326.69995,None,0,None,None,None,None,None,None,0,0,0,"(0, 0, 0)","(0, 0, 0)","(0, 0, 0)",False,False,False,False,False,False,None,None,None,False,None
7,2020-06-10T19:06:50.090Z,Player173,Triager,0.020421354373411,0,0.024132573426329,39,29,31,17.250002,45.299957,None,0,None,None,None,None,None,None,0,0,0,"(0, 0, 0)","(0, 0, 0)","(0, 0, 0)",False,False,False,False,False,False,None,None,None,False,None
8,2020-06-10T19:06:50.601Z,Player173,Triager,0.365142712313627,0,-0.136933538066387,39,29,31,21.450003,337.94995,None,0,None,None,None,None,None,None,0,0,0,"(0, 0, 0)","(0, 0, 0)","(0, 0, 0)",False,False,False,False,False,False,None,None,None,False,None
9,2020-06-10T19:06:51.013Z,Player173,Triager,0.602773271849401,0,-0.234701295115713,41,29,30,20.850002,343.04996,None,0,None,None,None,None,None,None,0,0,0,"(0, 0, 0)","(0, 0, 0)","(0, 0, 0)",False,False,False,False,False,False,None,None,None,False,None
10,2020-06-10T19:06:51.526Z,Player173,Triager,0.222476952508259,0,0.375094797363744,43,29,32,18.300003,21.600006,None,0,None,None,None,None,None,None,0,0,0,"(0, 0, 0)","(0, 0, 0)","(0, 0, 0)",False,False,False,False,False,False,None,None,None,False,None
11,2020-06-10T19:06:52.040Z,Player173,Triager,-0.236948282850335,0,-0.227448158005132,42,29,32,19.050001,47.099976,None,0,None,None,None,None,None,None,0,0,0,"(0, 0, 0)","(0, 0, 0)","(0, 0, 0)",False,False,False,False,False,False,None,None,None,False,None
12,2020-06-10T19:06:52.550Z,Player173,Triager,-0.649783870113424,0,0.099422674572026,40,29,32,29.700006,29.399933,None,0,None,None,None,None,None,None,0,0,0,"(0, 0, 0)","(0, 0, 0)","(0, 0, 0)",False,False,False,False,False,False,None,None,None,False,None
13,2020-06-10T19:06:53.060Z,Player173,Triager,-0.033954482955778,0,0,40,29,32,34.50001,8.249939,None,0,None,None,None,None,None,None,0,0,0,"(0, 0, 0)","(0, 0, 0)","(0, 0, 0)",False,False,False,False,False,False,None,None,None,False,None
14,2020-06-10T19:06:53.570Z,Player173,Triager,-0.42553054096561,0,0.066249131822929,38,29,31,27.60001,32.25,None,0,None,None,None,None,None,None,0,0,0,"(0, 0, 0)","(0, 0, 0)","(0, 0, 0)",False,False,False,False,False,False,None,None,None,False,None
15,2020-06-10T19:06:54.080Z,Player173,Triager,0,0,0,37,29,32,28.500008,0.75,None,0,None,None,None,None,None,None,0,0,0,"(0, 0, 0)","(0, 0, 0)","(0, 0, 0)",False,False,False,False,False,False,None,None,None,False,None
16,2020-06-10T19:06:54.591Z,Player173,Triager,0.40530564173423,0,0.063125835972386,37,29,32,25.050007,323.10004,None,0,None,None,None,None,None,None,0,0,0,"(0, 0, 0)","(0, 0, 0)","(0, 0, 0)",False,False,False,False,False,False,None,None,None,False,None
17,2020-06-10T19:06:55.101Z,Player173,Triager,0,0,0,39,29,32,42.300003,27.300049,None,0,None,None,None,None,None,None,0,0,0,"(0, 0, 0)","(0, 0, 0)","(0, 0, 0)",False,False,False,False,False,False,None,None,None,False,None
18,2020-06-10T19:06:55.517Z,Player173,Triager,0,0,0,38,29,32,39.45,7.800049,None,0,None,None,None,None,None,None,0,0,0,"(0, 0, 0)","(0, 0, 0)","(0, 0, 0)",False,False,False,False,False,False,None,None,None,False,None
19,2020-06-10T19:06:56.025Z,Player173,Triager,0,0,0,38,29,32,39.3,6.150055,None,0,None,None,None,None,None,None,0,0,0,"(0, 0, 0)","(0, 0, 0)","(0, 0, 0)",False,False,False,False,False,False,None,None,None,False,None
20,2020-06-10T19:06:56.534Z,Player173,Triager,0,0,0,38,29,32,39.3,6.150055,None,0,None,None,None,None,None,None,0,0,0,"(0, 0, 0)","(0, 0, 0)","(0, 0, 0)",False,False,False,False,False,False,None,None,None,False,None
21,2020-06-10T19:06:57.044Z,Player173,Triager,0,0,0,38,29,32,39.3,6.150055,None,0,None,None,None,None,None,None,0,0,0,"(0, 0, 0)","(0, 0, 0)","(0, 0, 0)",False,False,False,False,False,False,None,None,None,False,None
22,2020-06-10T19:06:57.556Z,Player173,Triager,0,0,0,38,29,32,39.3,6.150055,None,0,None,None,None,None,None,None,0,0,0,"(0, 0, 0)","(0, 0, 0)","(0, 0, 0)",False,False,False,False,False,False,None,None,None,False,None
23,2020-06-10T19:06:58.070Z,Player173,Triager,0,0,0,38,29,32,39.3,6.150055,None,0,None,None,None,None,None,None,0,0,0,"(0, 0, 0)","(0, 0, 0)","(0, 0, 0)",False,False,False,False,False,False,None,None,None,False,None
24,2020-06-10T19:06:58.581Z,Player173,Triager,0,0,0,38,29,32,39.3,6.150055,None,0,None,None,None,None,None,None,0,0,0,"(0, 0, 0)","(0, 0, 0)","(0, 0, 0)",False,False,False,False,False,False,None,None,None,False,None
25,2020-06-10T19:06:59.090Z,Player173,Triager,0,0,0,38,29,32,39.3,6.150055,None,0,None,None,None,None,None,None,0,0,0,"(0, 0, 0)","(0, 0, 0)","(0, 0, 0)",False,False,False,False,False,False,None,None,None,False,None
26,2020-06-10T19:06:59.600Z,Player173,Triager,0,0,0,38,29,32,39.3,6.150055,None,0,None,None,None,None,None,None,0,0,0,"(0, 0, 0)","(0, 0, 0)","(0, 0, 0)",False,False,False,False,False,False,None,None,None,False,None
