,@timestamp,player_ID,Room_in,num_victims,victim_0_id,victim_1_id,victim_2_id,victim_0_color,victim_1_color,victim_2_color,victim_0_in_FOV,victim_1_in_FOV,victim_2_in_FOV,victim_0_in_triage_pos,victim_1_in_triage_pos,victim_2_in_triage_pos,victim_in_crosshair_id,victim_in_cross_hair_color,event_triage_victim_id,triage_in_progress,triage_result,sensor_state
0,2020-06-10T21:26:35.493Z,K_Fuse,None,0,None,None,None,None,None,None,False,False,False,False,False,False,None,None,None,False,None,None
1,2020-06-10T21:26:35.901Z,K_Fuse,None,0,None,None,None,None,None,None,False,False,False,False,False,False,None,None,None,False,None,None
2,2020-06-10T21:26:36.411Z,K_Fuse,None,0,None,None,None,None,None,None,False,False,False,False,False,False,None,None,None,False,None,None
3,2020-06-10T21:26:36.921Z,K_Fuse,None,0,None,None,None,None,None,None,False,False,False,False,False,False,None,None,None,False,None,None
4,2020-06-10T21:26:37.432Z,K_Fuse,None,0,None,None,None,None,None,None,False,False,False,False,False,False,None,None,None,False,None,None
5,2020-06-10T21:26:37.942Z,K_Fuse,None,0,None,None,None,None,None,None,False,False,False,False,False,False,None,None,None,False,None,None
6,2020-06-10T21:26:38.453Z,K_Fuse,None,0,None,None,None,None,None,None,False,False,False,False,False,False,None,None,None,False,None,None
7,2020-06-10T21:26:38.962Z,K_Fuse,None,0,None,None,None,None,None,None,False,False,False,False,False,False,None,None,None,False,None,None
8,2020-06-10T21:26:39.472Z,K_Fuse,None,0,None,None,None,None,None,None,False,False,False,False,False,False,None,None,None,False,None,None
9,2020-06-10T21:26:39.983Z,K_Fuse,None,0,None,None,None,None,None,None,False,False,False,False,False,False,None,None,None,False,None,None
10,2020-06-10T21:26:40.495Z,K_Fuse,None,0,None,None,None,None,None,None,False,False,False,False,False,False,None,None,None,False,None,None
11,2020-06-10T21:26:40.904Z,K_Fuse,None,0,None,None,None,None,None,None,False,False,False,False,False,False,None,None,None,False,None,None
12,2020-06-10T21:26:41.414Z,K_Fuse,None,0,None,None,None,None,None,None,False,False,False,False,False,False,None,None,None,False,None,None
13,2020-06-10T21:26:41.925Z,K_Fuse,None,0,None,None,None,None,None,None,False,False,False,False,False,False,None,None,None,False,None,None
14,2020-06-10T21:26:42.436Z,K_Fuse,None,0,None,None,None,None,None,None,False,False,False,False,False,False,None,None,None,False,None,None
15,2020-06-10T21:26:42.949Z,K_Fuse,None,0,None,None,None,None,None,None,False,False,False,False,False,False,None,None,None,False,None,None
16,2020-06-10T21:26:43.464Z,K_Fuse,None,0,None,None,None,None,None,None,False,False,False,False,False,False,None,None,None,False,None,None
17,2020-06-10T21:26:43.978Z,K_Fuse,None,0,None,None,None,None,None,None,False,False,False,False,False,False,None,None,None,False,None,None
18,2020-06-10T21:26:44.497Z,K_Fuse,None,0,None,None,None,None,None,None,False,False,False,False,False,False,None,None,None,False,None,None
19,2020-06-10T21:26:44.906Z,K_Fuse,None,0,None,None,None,None,None,None,False,False,False,False,False,False,None,None,None,False,None,None
